"","long","lat","group","year"
"15310",-119.71,37.43,"11.8",2006
"15336",-119.72,37.43,"11.8",2006
"15377",-119.7,37.44,"11.9",2006
"15394",-119.7,37.43,"11.9",2006
"15491",-119.71,37.44,"11.10",2006
"15501",-119.72,37.44,"11.10",2006
"15539",-119.71,37.44,"11.11",2006
"15589",-119.7,37.44,"11.12",2006
"15651",-119.71,37.45,"11.13",2006
"15762",-119.71,37.46,"11.14",2006
"15763",-119.71,37.45,"11.14",2006
"15808",-119.71,37.43,"11.15",2006
"15845",-119.7,37.44,"11.16",2006
"15945",-119.72,37.44,"11.17",2006
"15961",-119.71,37.43,"11.18",2006
"15993",-119.71,37.43,"11.19",2006
"16009",-120.67,39.27,"12.1",2006
"16024",-120.67,39.28,"12.1",2006
"16025",-120.68,39.28,"12.1",2006
"16083",-120.67,39.26,"12.2",2006
"16087",-120.68,39.26,"12.2",2006
"16101",-120.68,39.27,"12.2",2006
"16109",-120.67,39.27,"12.2",2006
"16127",-120.67,39.27,"12.3",2006
"16132",-120.68,39.27,"12.3",2006
"16185",-120.68,39.27,"12.4",2006
"16238",-120.68,39.26,"12.5",2006
"16258",-122.73,41.33,"13.1",2006
"16262",-122.73,41.32,"13.1",2006
"16276",-122.73,41.33,"13.2",2006
"16614",-122.73,41.33,"14.1",2006
"16618",-122.73,41.32,"14.1",2006
"16632",-122.73,41.33,"14.2",2006
"16970",-119.93,38.03,"15.1",2006
"16971",-119.94,38.03,"15.1",2006
"17006",-116.74,33.75,"16.1",2006
"17085",-116.74,33.74,"16.1",2006
"17290",-116.74,33.75,"17.1",2006
"17369",-116.74,33.74,"17.1",2006
"17574",-116.75,33.74,"18.1",2006
"17724",-116.75,33.73,"18.1",2006
"17827",-116.75,33.74,"19.1",2006
"17977",-116.75,33.73,"19.1",2006
"18080",-116.75,33.74,"20.1",2006
"18230",-116.75,33.73,"20.1",2006
"18333",-116.74,33.75,"21.1",2006
"18412",-116.74,33.74,"21.1",2006
"18617",-118.94,36.64,"22.1",2006
"18628",-118.93,36.64,"22.1",2006
"18735",-118.94,36.63,"22.1",2006
"18803",-118.9,36.77,"23.1",2006
"18888",-118.95,36.65,"24.1",2006
"18890",-118.95,36.66,"24.1",2006
"18987",-118.95,36.64,"24.1",2006
"19009",-118.95,36.65,"24.2",2006
"19013",-118.95,36.65,"25.1",2006
"19028",-118.95,36.64,"25.1",2006
"19069",-118.95,36.65,"25.2",2006
"19073",-118.93,36.65,"26.1",2006
"19136",-118.93,36.66,"26.1",2006
"19176",-118.92,36.66,"26.1",2006
"19888",-118.93,36.65,"26.2",2006
"19911",-119.09,36.78,"27.1",2006
"19924",-119.09,36.77,"27.1",2006
"19971",-119.08,36.77,"27.1",2006
"20110",-119.07,36.77,"27.1",2006
"20301",-119.09,36.79,"27.2",2006
"20418",-119.09,36.77,"27.3",2006
"20423",-119.1,36.77,"27.3",2006
"20467",-119.09,36.78,"27.4",2006
"20471",-119.09,36.79,"27.4",2006
"20485",-119.1,36.79,"27.5",2006
"20521",-119.08,36.77,"27.6",2006
"20559",-118.95,36.63,"28.1",2006
"20681",-118.95,36.63,"28.2",2006
"20726",-119.1,36.81,"29.1",2006
"20825",-119.09,36.81,"29.1",2006
"20849",-119.1,36.8,"29.1",2006
"20906",-119.11,36.81,"29.2",2006
"21006",-119.11,36.82,"29.3",2006
"21008",-119.11,36.81,"29.3",2006
"21027",-119.12,36.81,"29.3",2006
"21033",-119.12,36.82,"29.3",2006
"21050",-119.11,36.81,"29.4",2006
"21084",-119.1,36.81,"29.4",2006
"21091",-119.1,36.81,"29.5",2006
"21096",-119.1,36.8,"29.5",2006
"21099",-119.11,36.8,"29.5",2006
"21103",-119.11,36.81,"29.5",2006
"21115",-119.1,36.81,"29.6",2006
"21134",-119.1,36.8,"29.7",2006
"21138",-119.1,36.81,"29.7",2006
"21152",-119.11,36.81,"29.8",2006
"21160",-123.59,40.9,"30.1",2006
"21163",-123.59,40.89,"30.1",2006
"21178",-123.59,40.9,"31.1",2006
"21181",-123.59,40.89,"31.1",2006
"21196",-122.65,39.25,"32.1",2006
"21205",-122.66,39.25,"32.1",2006
"21212",-122.62,39.25,"32.2",2006
"21213",-122.63,39.25,"32.2",2006
"21224",-122.75,39.31,"33.1",2006
"21225",-122.74,39.31,"33.1",2006
"21253",-122.73,39.31,"33.1",2006
"21270",-122.73,39.3,"33.1",2006
"21276",-122.74,39.3,"33.1",2006
"21338",-118.64,36.15,"34.1",2006
"21351",-118.64,36.14,"34.1",2006
"21382",-118.63,36.14,"34.1",2006
"21403",-118.62,36.14,"34.1",2006
"21415",-118.61,36.14,"34.1",2006
"21421",-118.61,36.13,"34.1",2006
"21426",-118.62,36.13,"34.1",2006
"21468",-118.62,36.12,"34.1",2006
"21475",-118.63,36.13,"34.1",2006
"21485",-118.64,36.13,"34.1",2006
"21520",-118.65,36.14,"34.1",2006
"21526",-118.65,36.15,"34.1",2006
"21541",-118.62,36.15,"34.2",2006
"21548",-118.62,36.14,"34.2",2006
"21582",-118.63,36.14,"34.2",2006
"21594",-118.63,36.15,"34.2",2006
"21605",-118.61,36.15,"34.2",2006
"21608",-118.64,36.15,"34.3",2006
"21609",-118.65,36.15,"34.3",2006
"21659",-118.66,36.15,"34.3",2006
"21674",-118.65,36.16,"34.3",2006
"21679",-123.08,41.66,"35.1",2006
"21686",-123.07,41.66,"35.1",2006
"21712",-123.06,41.67,"35.2",2006
"21714",-123.07,41.67,"35.2",2006
"21720",-123.07,41.66,"35.2",2006
"21744",-123.07,41.65,"35.3",2006
"21746",-123.08,41.65,"35.3",2006
"21765",-123.07,41.68,"35.4",2006
"21785",-123.07,41.65,"35.5",2006
"21787",-123.08,41.65,"35.5",2006
"21794",-123.08,41.66,"35.5",2006
"21805",-123.09,41.66,"35.6",2006
"21815",-123.07,41.65,"35.7",2006
"21839",-123.07,41.65,"35.8",2006
"21858",-123.08,41.66,"36.1",2006
"21865",-123.07,41.66,"36.1",2006
"21891",-123.06,41.67,"36.2",2006
"21893",-123.07,41.67,"36.2",2006
"21899",-123.07,41.66,"36.2",2006
"21923",-123.07,41.65,"36.3",2006
"21925",-123.08,41.65,"36.3",2006
"21944",-123.07,41.68,"36.4",2006
"21964",-123.07,41.65,"36.5",2006
"21966",-123.08,41.65,"36.5",2006
"21973",-123.08,41.66,"36.5",2006
"21984",-123.09,41.66,"36.6",2006
"21994",-123.07,41.65,"36.7",2006
"22018",-123.07,41.65,"36.8",2006
"22037",-118.49,35.92,"37.1",2006
"22063",-118.49,35.94,"37.2",2006
"22064",-118.48,35.94,"37.2",2006
"22070",-118.49,35.93,"37.2",2006
"22082",-119.01,36.83,"38.1",2006
"22141",-119.01,36.82,"38.1",2006
"22147",-119,36.82,"38.1",2006
"22376",-119.01,36.82,"38.2",2006
"22401",-119.02,36.82,"38.2",2006
"22435",-119.01,36.82,"38.3",2006
"22476",-121.46,36.28,"48.1",2006
"22486",-121.47,36.28,"48.1",2006
"22487",-121.47,36.29,"48.1",2006
"22510",-121.71,36.22,"48.2",2006
"22511",-121.71,36.21,"48.2",2006
"22534",-121.72,36.21,"48.2",2006
"22535",-121.72,36.22,"48.2",2006
"22589",-118.68,37.53,"49.1",2006
"22596",-118.67,37.53,"49.1",2006
"22606",-118.66,37.53,"49.1",2006
"22607",-118.66,37.52,"49.1",2006
"22611",-118.67,37.52,"49.1",2006
"22634",-120.35,38.27,"50.1",2006
"22690",-120.36,38.27,"50.1",2006
"22969",-120.36,38.28,"50.1",2006
"22989",-120.35,38.28,"50.1",2006
"23064",-120.37,38.26,"50.2",2006
"23115",-120.37,38.25,"50.2",2006
"23211",-120.38,38.25,"50.2",2006
"23482",-120.38,38.26,"50.2",2006
"23643",-120.39,38.25,"50.3",2006
"23687",-120.38,38.25,"50.3",2006
"23810",-120.39,38.24,"50.3",2006
"23881",-120.37,38.28,"50.4",2006
"23934",-120.37,38.29,"50.4",2006
"23995",-120.36,38.28,"50.4",2006
"24003",-120.36,38.29,"50.4",2006
"24103",-120.37,38.27,"50.5",2006
"24117",-120.37,38.26,"50.5",2006
"24305",-120.36,38.26,"50.6",2006
"24306",-120.36,38.25,"50.6",2006
"24384",-120.35,38.27,"50.7",2006
"24388",-120.39,38.25,"50.8",2006
"24392",-120.35,38.28,"50.9",2006
"24396",-120.35,38.27,"50.10",2006
"24400",-118.63,35.8,"51.1",2006
"24401",-118.62,35.8,"51.1",2006
"24402",-118.62,35.81,"51.1",2006
"24415",-118.92,36.79,"52.1",2006
"24419",-118.92,36.78,"52.1",2006
"24451",-118.93,36.78,"52.1",2006
"24539",-118.93,36.79,"52.1",2006
"24576",-118.92,36.76,"52.2",2006
"24577",-118.91,36.76,"52.2",2006
"24696",-118.92,36.75,"52.2",2006
"24816",-118.93,36.64,"52.3",2006
"24833",-118.93,36.63,"52.3",2006
"24890",-118.94,36.63,"52.3",2006
"24901",-118.94,36.64,"52.3",2006
"24933",-118.92,36.75,"52.4",2006
"24981",-118.93,36.75,"52.4",2006
"25004",-118.89,36.72,"52.5",2006
"25043",-118.9,36.72,"52.5",2006
"25084",-119.04,36.77,"52.6",2006
"25109",-119.04,36.76,"52.6",2006
"25132",-119.05,36.77,"52.6",2006
"25167",-118.91,36.72,"52.7",2006
"25208",-119,36.72,"52.8",2006
"25265",-118.92,36.75,"52.9",2006
"25302",-119.13,36.81,"53.1",2006
"25416",-119.14,36.81,"53.1",2006
"25514",-119.13,36.81,"53.2",2006
"25521",-119.14,36.81,"53.2",2006
"25533",-119.14,36.82,"53.2",2006
"25557",-119.13,36.82,"53.2",2006
"25569",-121.58,41.74,"54.1",2006
"25602",-121.57,41.74,"54.1",2006
"25672",-121.56,41.74,"54.1",2006
"25733",-121.56,41.73,"54.1",2006
"25746",-121.55,41.73,"54.1",2006
"25844",-121.54,41.73,"54.1",2006
"25884",-121.53,41.73,"54.1",2006
"25907",-121.53,41.72,"54.1",2006
"25941",-121.53,41.71,"54.1",2006
"25963",-121.53,41.7,"54.1",2006
"25989",-121.54,41.7,"54.1",2006
"26000",-121.54,41.69,"54.1",2006
"26013",-121.55,41.69,"54.1",2006
"26072",-121.56,41.69,"54.1",2006
"26073",-121.58,41.69,"54.1",2006
"26083",-121.57,41.69,"54.1",2006
"26111",-121.57,41.7,"54.1",2006
"26174",-121.58,41.7,"54.1",2006
"26206",-121.58,41.71,"54.1",2006
"26280",-121.58,41.72,"54.1",2006
"26337",-121.59,41.72,"54.1",2006
"26361",-121.59,41.73,"54.1",2006
"26377",-121.58,41.73,"54.1",2006
"26480",-121.59,41.74,"54.1",2006
"26500",-121.6,41.74,"54.1",2006
"26706",-119.39,37.04,"70.1",2006
"26834",-119.4,37.04,"70.1",2006
"26907",-119.39,37.05,"70.1",2006
"26990",-119.41,37.05,"70.2",2006
"26993",-119.41,37.04,"70.2",2006
"27076",-119.4,37.04,"70.2",2006
"27483",-119.4,37.04,"70.3",2006
"27720",-116.91,34.18,"71.1",2006
"28011",-116.91,34.19,"71.1",2006
"28053",-116.92,34.19,"71.1",2006
"28235",-116.91,34.17,"72.1",2006
"28249",-116.91,34.16,"72.1",2006
"28293",-116.9,34.16,"72.1",2006
"28381",-116.89,34.16,"72.1",2006
"28476",-116.88,34.16,"72.1",2006
"28576",-116.87,34.16,"72.1",2006
"29198",-116.85,34.22,"73.1",2006
"29309",-116.86,34.22,"73.1",2006
"29366",-116.85,34.23,"73.1",2006
"29391",-116.85,34.22,"74.1",2006
"29502",-116.86,34.22,"74.1",2006
"29559",-116.85,34.23,"74.1",2006
"29584",-116.76,34.17,"75.1",2006
"29622",-116.77,34.17,"75.1",2006
"29709",-116.78,34.17,"75.1",2006
"29776",-116.78,34.16,"75.1",2006
"29823",-116.79,34.16,"75.1",2006
"29889",-116.8,34.16,"75.1",2006
"29965",-116.81,34.16,"75.1",2006
"30025",-116.81,34.17,"75.1",2006
"30059",-116.82,34.17,"75.1",2006
"30142",-116.83,34.17,"75.1",2006
"30991",-116.75,34.17,"75.1",2006
"31071",-116.91,34.16,"75.2",2006
"31089",-116.92,34.16,"75.2",2006
"31190",-116.93,34.16,"75.2",2006
"31333",-116.94,34.16,"75.2",2006
"31439",-116.95,34.16,"75.2",2006
"31547",-116.96,34.16,"75.2",2006
"31611",-116.96,34.15,"75.2",2006
"31664",-116.97,34.16,"75.2",2006
"31689",-116.97,34.15,"75.2",2006
"31802",-116.98,34.15,"75.2",2006
"32616",-116.77,34.23,"75.3",2006
"32711",-116.76,34.23,"75.3",2006
"32725",-116.76,34.22,"75.3",2006
"32805",-116.75,34.22,"75.3",2006
"32808",-116.74,34.21,"75.3",2006
"32838",-116.73,34.21,"75.3",2006
